,ndays_of_deal,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,avg_discount,Y_discount_3d,Y_avg_discount_3d
0,1,0.0,0.0,0.0,2013,2,14,3,40.0,0,0.0
1,0,0.0,0.0,0.0,2013,2,15,4,0.0,1,20.0
2,0,0.0,0.0,0.0,2013,2,16,5,0.0,1,20.0
3,0,0.0,0.0,0.0,2013,2,17,6,0.0,1,20.0
4,1,0.0,0.0,0.0,2013,2,18,0,20.0,0,0.0
5,0,0.0,0.0,0.0,2013,2,19,1,0.0,0,0.0
6,0,0.0,0.0,0.0,2013,2,20,2,0.0,0,0.0
7,0,0.0,0.0,0.0,2013,2,21,3,0.0,0,0.0
8,0,0.0,0.0,0.0,2013,2,22,4,0.0,0,0.0
9,0,0.0,0.0,0.0,2013,2,23,5,0.0,0,0.0
10,0,0.0,0.0,0.0,2013,2,24,6,0.0,0,0.0
11,0,0.0,0.0,0.0,2013,2,25,0,0.0,0,0.0
12,0,0.0,0.0,0.0,2013,2,26,1,0.0,1,50.0
13,0,0.0,0.0,0.0,2013,2,27,2,0.0,1,50.0
14,0,0.0,0.0,0.0,2013,2,28,3,0.0,1,50.0
15,1,0.0,0.0,0.0,2013,3,1,4,50.0,0,0.0
16,0,0.0,0.0,0.0,2013,3,2,5,0.0,0,0.0
17,0,0.0,0.0,0.0,2013,3,3,6,0.0,0,0.0
18,0,0.0,0.0,0.0,2013,3,4,0,0.0,0,0.0
19,0,0.0,0.0,0.0,2013,3,5,1,0.0,0,0.0
20,0,0.0,0.0,0.0,2013,3,6,2,0.0,1,50.0
21,0,0.0,0.0,0.0,2013,3,7,3,0.0,1,50.0
22,0,0.0,0.0,0.0,2013,3,8,4,0.0,1,50.0
23,1,0.0,0.0,0.0,2013,3,9,5,50.0,0,0.0
24,0,0.0,0.0,0.0,2013,3,10,6,0.0,1,50.0
25,0,0.0,0.0,0.0,2013,3,11,0,0.0,1,50.0
26,0,0.0,0.0,0.0,2013,3,12,1,0.0,1,50.0
27,1,0.0,0.0,0.0,2013,3,13,2,50.0,0,0.0
28,0,0.0,0.0,0.0,2013,3,14,3,0.0,0,0.0
29,0,0.0,0.0,0.0,2013,3,15,4,0.0,1,50.0
30,0,0.0,0.0,0.0,2013,3,16,5,0.0,1,50.0
31,0,0.0,0.0,0.0,2013,3,17,6,0.0,1,50.0
32,1,0.0,0.0,0.0,2013,3,18,0,50.0,0,0.0
33,0,0.0,0.0,0.0,2013,3,19,1,0.0,0,0.0
34,0,0.0,0.0,0.0,2013,3,20,2,0.0,0,0.0
35,0,0.0,0.0,0.0,2013,3,21,3,0.0,0,0.0
36,0,0.0,0.0,0.0,2013,3,22,4,0.0,1,50.0
37,0,0.0,0.0,0.0,2013,3,23,5,0.0,1,50.0
38,0,0.0,0.0,0.0,2013,3,24,6,0.0,1,50.0
39,1,0.0,0.0,0.0,2013,3,25,0,50.0,1,25.0
40,0,0.0,0.0,0.0,2013,3,26,1,0.0,1,25.0
41,0,0.0,0.0,0.0,2013,3,27,2,0.0,1,25.0
42,1,0.0,0.0,0.0,2013,3,28,3,25.0,0,0.0
43,0,0.0,0.0,0.0,2013,3,29,4,0.0,0,0.0
44,0,0.0,0.0,0.0,2013,3,30,5,0.0,0,0.0
