,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Memorial_Day,nday_away_Independence_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Labor_Day,nday_away_Columbus_Day,nday_away_Thanksgiving,nday_away_New_Years_Day,nday_away_Christmas_Day,nday_away_Martin_Luther_King_Jr_Day,nday_away_anyholiday
0,2013-02-14,0.0,0.0,0.0,2013,2,14,3,1,40.0,0,0,0,0,1,20,1,20,,,,,,,,,,,,,,5.678001307018091e-11,4.9891093927950183e-20,0.9643690948860915,1.2948737877910746e-09,3.2580712504375464e-27,4.09289565372295e-17,1.1253517471925912e-07,0.012400448027957603,0.002745041231162644,0.2708683284704635,0.9643690948860915
1,2013-02-15,0.0,0.0,0.0,2013,2,15,4,0,0.0,0,0,1,20,1,20,1,40,1.0,,,,,,,,,,,,,8.997229967366561e-11,9.392490402701178e-20,0.9797986738537043,8.397144824858431e-10,1.5451231768499288e-27,2.2749341707408446e-17,7.671105893720845e-08,0.010134227381485734,0.002173276647747907,0.24238362999515986,0.9797986738537043
2,2013-02-16,0.0,0.0,0.0,2013,2,16,5,0,0.0,0,0,1,20,1,20,1,40,0.0,1.0,,,,,,,,,,,,1.4192292867942123e-10,1.760227914426155e-19,0.9909707162514318,5.420835868877036e-10,7.294508704739252e-28,1.2587439785341146e-17,5.205447572187675e-08,0.008244689844825922,0.00171281936882384,0.21591298091726488,0.9909707162514318
3,2013-02-17,0.0,0.0,0.0,2013,2,17,6,0,0.0,1,20,1,20,1,20,1,40,0.0,0.0,1.0,,,,,,,,,,,2.2285722505175572e-10,3.2838813589367143e-19,0.9977349953069204,3.4836240728956334e-10,3.4281466917367465e-28,6.933242467194433e-18,3.516321581057925e-08,0.006677108163747914,0.0013438120398556223,0.19146289967870542,0.9977349953069204
4,2013-02-18,0.0,0.0,0.0,2013,2,18,0,1,20.0,0,0,0,0,0,0,1,50,0.0,0.0,0.0,1.0,,,,,,,,,,3.4836240728956334e-10,6.098688103116819e-19,1.0,2.2285722505175572e-10,1.603810890548638e-28,3.8015944193905344e-18,2.3645554668615604e-08,0.005383105741918052,0.0010495325222677763,0.1690133154060661,1.0
5,2013-02-19,0.0,0.0,0.0,2013,2,19,1,0,0.0,0,0,0,0,0,0,1,50,1.0,0.0,0.0,0.0,1.0,,,,,,,,,5.420835868877036e-10,1.1274980485847069e-18,0.9977349953069204,1.4192292867942123e-10,7.469255741829046e-29,2.0750357571818113e-18,1.5828539209911236e-08,0.004320239474094066,0.0008159878350721483,0.14852091655171076,0.9977349953069204
6,2013-02-20,0.0,0.0,0.0,2013,2,20,2,0,0.0,0,0,0,0,0,0,1,50,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,8.397144824858431e-10,2.0750357571818113e-18,0.9909707162514318,8.997229967366561e-11,3.4628359020592734e-29,1.1274980485847069e-18,1.0547816779454457e-08,0.003451541830562535,0.0006315414766389987,0.12992260830505947,0.9909707162514318
7,2013-02-21,0.0,0.0,0.0,2013,2,21,3,0,0.0,0,0,0,0,0,0,1,50,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,1.2948737877910746e-09,3.8015944193905344e-18,0.9797986738537043,5.678001307018091e-11,1.5981476628267853e-29,6.098688103116819e-19,6.997045994265065e-09,0.002745041231162644,0.0004865757746296883,0.11313897801910364,0.9797986738537043
8,2013-02-22,0.0,0.0,0.0,2013,2,22,4,0,0.0,0,0,0,0,1,50,1,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.987712853292263e-09,6.933242467194433e-18,0.9643690948860915,3.567077669253329e-11,7.342303069252906e-30,3.2838813589367143e-19,4.62058847615921e-09,0.002173276647747907,0.00037318957021707967,0.09807767964508253,0.9643690948860915
9,2013-02-23,0.0,0.0,0.0,2013,2,23,5,0,0.0,0,0,0,0,1,50,1,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,3.0374578711408626e-09,1.2587439785341146e-17,0.9448875602748896,2.2307970104970424e-11,3.3579801181420154e-30,1.760227914426155e-19,3.0374578711408626e-09,0.00171281936882384,0.00028493048887656886,0.08463666150622445,0.9448875602748896
