,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Martin_Luther_King_Jr_Day,nday_away_Columbus_Day,nday_away_Labor_Day,nday_away_New_Years_Day,nday_away_Thanksgiving,nday_away_Memorial_Day,nday_away_Christmas_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Independence_Day,nday_away_anyholiday
0,2014-05-15,0.0,20.0,0.0,2014,5,15,3,1,15.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,9.464322195262531e-14,3.513136727828072e-23,1.9936717358377863e-12,2.0750357571818113e-18,1.603810890548638e-28,0.760045927023468,2.6381270294181677e-20,3.516321581057925e-08,1.237799517733768e-32,0.003451541830562535,0.760045927023468
1,2014-05-16,0.0,0.0,0.0,2014,5,16,4,0,0.0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,5.605339617595758e-14,6.95213617456976e-23,3.2610248726700355e-12,1.1274980485847069e-18,7.469255741829046e-29,0.7971141629458125,1.3886691616029176e-20,2.3645554668615604e-08,2.793776256466959e-32,0.004320239474094066,0.7971141629458125
2,2014-05-17,0.0,0.0,0.0,2014,5,17,5,0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,,,,,,,,,,,,3.3047967556318703e-14,1.3695310990003124e-22,5.309883359214771e-12,6.098688103116819e-19,3.4628359020592734e-29,0.8322075006903012,7.276663454088607e-21,1.5828539209911236e-08,6.277162123269114e-32,0.005383105741918052,0.8322075006903012
3,2014-05-18,0.0,0.0,0.0,2014,5,18,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,,,,,,,,,1.939625972470827e-14,2.685690341941217e-22,8.606890178604721e-12,3.2838813589367143e-19,1.5981476628267853e-29,0.8649144172389205,3.795737739100092e-21,1.0547816779454457e-08,1.4039947359662446e-31,0.006677108163747914,0.8649144172389205
4,2014-05-19,0.0,0.0,0.0,2014,5,19,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,,,,,,1.1332393247975474e-14,5.242885663363464e-22,1.3887943864964021e-11,1.760227914426155e-19,7.342303069252906e-30,0.8948393168143698,1.971017666651087e-21,6.997045994265065e-09,3.1260651434701166e-31,0.008244689844825922,0.8948393168143698
5,2014-05-20,0.0,0.0,0.0,2014,5,20,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,6.5910664926522654e-15,1.0188617225283034e-21,2.2307970104970424e-11,9.392490402701178e-20,3.3579801181420154e-30,0.9216104472977248,1.0188617225283034e-21,4.62058847615921e-09,6.928847118330195e-31,0.010134227381485734,0.9216104472977248
6,2014-05-21,0.0,0.0,0.0,2014,5,21,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,3.816103628946825e-15,1.971017666651087e-21,3.567077669253329e-11,4.9891093927950183e-20,1.5288129205360447e-30,0.9448875602748896,5.242885663363464e-22,3.0374578711408626e-09,1.5288129205360447e-30,0.012400448027957603,0.9448875602748896
7,2014-05-22,0.0,0.0,0.0,2014,5,22,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,2.1994547780410763e-15,3.795737739100092e-21,5.678001307018091e-11,2.6381270294181677e-20,6.928847118330195e-31,0.9643690948860915,2.685690341941217e-22,1.987712853292263e-09,3.3579801181420154e-30,0.015104783999608878,0.9643690948860915
8,2014-05-23,0.0,0.0,0.0,2014,5,23,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.2619447026583566e-15,7.276663454088607e-21,8.997229967366561e-11,1.3886691616029176e-20,3.1260651434701166e-31,0.9797986738537043,1.3695310990003124e-22,1.2948737877910746e-09,7.342303069252906e-30,0.01831563888873418,0.9797986738537043
9,2014-05-24,0.0,0.0,0.0,2014,5,24,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.207688734079356e-16,1.3886691616029176e-20,1.4192292867942123e-10,7.276663454088607e-21,1.4039947359662446e-31,0.9909707162514318,6.95213617456976e-23,8.397144824858431e-10,1.5981476628267853e-29,0.022108538597039658,0.9909707162514318
