,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Memorial_Day,nday_away_Independence_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Labor_Day,nday_away_Columbus_Day,nday_away_Thanksgiving,nday_away_New_Years_Day,nday_away_Christmas_Day,nday_away_Martin_Luther_King_Jr_Day,nday_away_anyholiday
0,2011-05-14,0.0,0.0,0.0,2011,5,14,5,1,30.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.5596191218461927,0.002745041231162644,2.3891319952628224e-07,5.4593307522331215e-33,1.5907704423661305e-13,1.3695310990003124e-22,3.4628359020592734e-29,3.8015944193905344e-18,4.9891093927950183e-20,3.3047967556318703e-14,0.5596191218461927
1,2011-05-15,0.0,0.0,0.0,2011,5,15,6,0,0.0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,0.6003730411984044,0.003451541830562535,1.6434216793821234e-07,1.237799517733768e-32,2.661680480344294e-13,2.685690341941217e-22,1.5981476628267853e-29,2.0750357571818113e-18,2.6381270294181677e-20,1.939625972470827e-14,0.6003730411984044
2,2011-05-16,0.0,0.0,0.0,2011,5,16,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,,,,,,,,,,,,0.6411803884299546,0.004320239474094066,1.1253517471925912e-07,2.793776256466959e-32,4.433377746328046e-13,5.242885663363464e-22,7.342303069252906e-30,1.1274980485847069e-18,1.3886691616029176e-20,1.1332393247975474e-14,0.6411803884299546
3,2011-05-17,0.0,0.0,0.0,2011,5,17,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,,,,,,,,,0.6816629478612286,0.005383105741918052,7.671105893720845e-08,6.277162123269114e-32,7.35095839585829e-13,1.0188617225283034e-21,3.3579801181420154e-30,6.098688103116819e-19,7.276663454088607e-21,6.5910664926522654e-15,0.6816629478612286
4,2011-05-18,0.0,0.0,0.0,2011,5,18,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,,,,,,0.7214222903547561,0.006677108163747914,5.205447572187675e-08,1.4039947359662446e-31,1.2133430395437822e-12,1.971017666651087e-21,1.5288129205360447e-30,3.2838813589367143e-19,3.795737739100092e-21,3.816103628946825e-15,0.7214222903547561
5,2011-05-19,0.0,0.0,0.0,2011,5,19,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.760045927023468,0.008244689844825922,3.516321581057925e-08,3.1260651434701166e-31,1.9936717358377863e-12,3.795737739100092e-21,6.928847118330195e-31,1.760227914426155e-19,1.971017666651087e-21,2.1994547780410763e-15,0.760045927023468
6,2011-05-20,0.0,0.0,0.0,2011,5,20,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.7971141629458125,0.010134227381485734,2.3645554668615604e-08,6.928847118330195e-31,3.2610248726700355e-12,7.276663454088607e-21,3.1260651434701166e-31,9.392490402701178e-20,1.0188617225283034e-21,1.2619447026583566e-15,0.7971141629458125
7,2011-05-21,0.0,0.0,0.0,2011,5,21,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.8322075006903012,0.012400448027957603,1.5828539209911236e-08,1.5288129205360447e-30,5.309883359214771e-12,1.3886691616029176e-20,1.4039947359662446e-31,4.9891093927950183e-20,5.242885663363464e-22,7.207688734079356e-16,0.8322075006903012
8,2011-05-22,0.0,0.0,0.0,2011,5,22,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.8649144172389205,0.015104783999608878,1.0547816779454457e-08,3.3579801181420154e-30,8.606890178604721e-12,2.6381270294181677e-20,6.277162123269114e-32,2.6381270294181677e-20,2.685690341941217e-22,4.0980960411175916e-16,0.8649144172389205
9,2011-05-23,0.0,0.0,0.0,2011,5,23,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.8948393168143698,0.01831563888873418,6.997045994265065e-09,7.342303069252906e-30,1.3887943864964021e-11,4.9891093927950183e-20,2.793776256466959e-32,1.3886691616029176e-20,1.3695310990003124e-22,2.3195228302435696e-16,0.8948393168143698
10,2011-05-24,0.0,0.0,0.0,2011,5,24,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.9216104472977248,0.022108538597039658,4.62058847615921e-09,1.5981476628267853e-29,2.2307970104970424e-11,9.392490402701178e-20,1.237799517733768e-32,7.276663454088607e-21,6.95213617456976e-23,1.3069097000558088e-16,0.9216104472977248
