,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Martin_Luther_King_Jr_Day,nday_away_Columbus_Day,nday_away_Labor_Day,nday_away_New_Years_Day,nday_away_Thanksgiving,nday_away_Memorial_Day,nday_away_Christmas_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Independence_Day,nday_away_anyholiday
0,2017-11-27,18.0,77.0,39.0,2017,11,27,0,1,25.0,1,30,1,30,1,30,1,40,,,,,,,,,,,,,,0.004320239474094066,0.004320239474094066,1.1253517471925912e-07,0.06217652402211632,0.9643690948860915,2.396949668898052e-33,0.1690133154060661,1.1253517471925912e-07,0.5596191218461927,1.0188617225283034e-21,0.9643690948860915
1,2017-11-28,11.0,115.0,26.0,2017,11,28,1,1,25.0,1,30,1,30,1,40,1,40,1.0,,,,,,,,,,,,,0.005383105741918052,0.003451541830562535,7.671105893720845e-08,0.07270717596764426,0.9448875602748896,5.4593307522331215e-33,0.19146289967870542,1.6434216793821234e-07,0.5192712990540764,5.242885663363464e-22,0.9448875602748896
2,2017-11-29,9.0,25.0,8.0,2017,11,29,2,1,25.0,0,0,1,40,1,50,1,40,1.0,1.0,,,,,,,,,,,,0.006677108163747914,0.002745041231162644,5.205447572187675e-08,0.08463666150622445,0.9216104472977248,1.237799517733768e-32,0.21591298091726488,2.3891319952628224e-07,0.47965226883004425,2.685690341941217e-22,0.9216104472977248
3,2017-11-30,0.0,0.0,0.0,2017,11,30,3,0,0.0,1,40,1,40,1,50,1,40,1.0,1.0,1.0,,,,,,,,,,,0.008244689844825922,0.002173276647747907,3.516321581057925e-08,0.09807767964508253,0.8948393168143698,2.793776256466959e-32,0.24238362999515986,3.4574960100244164e-07,0.441051290941554,1.3695310990003124e-22,0.8948393168143698
4,2017-12-01,8.0,22.0,3.0,2017,12,1,4,1,40.0,0,0,0,0,1,50,1,40,0.0,1.0,1.0,1.0,,,,,,,,,,0.010134227381485734,0.00171281936882384,2.3645554668615604e-08,0.11313897801910364,0.8649144172389205,6.277162123269114e-32,0.2708683284704635,4.980966734693725e-07,0.40372170860859763,6.95213617456976e-23,0.8649144172389205
5,2017-12-02,0.0,0.0,0.0,2017,12,2,5,0,0.0,0,0,1,50,1,50,1,40,1.0,0.0,1.0,1.0,1.0,,,,,,,,,0.012400448027957603,0.0013438120398556223,1.5828539209911236e-08,0.12992260830505947,0.8322075006903012,1.4039947359662446e-31,0.30133083890551066,7.143252560542774e-07,0.36787944117144233,3.513136727828072e-23,0.8322075006903012
6,2017-12-03,0.0,0.0,0.0,2017,12,3,6,0,0.0,0,0,1,50,1,50,1,40,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,0.015104783999608878,0.0010495325222677763,1.0547816779454457e-08,0.14852091655171076,0.7971141629458125,3.1260651434701166e-31,0.33370241075447066,1.0197853771706282e-06,0.33370241075447066,1.7672673139340898e-23,0.7971141629458125
7,2017-12-04,0.0,0.0,0.0,2017,12,4,0,0,0.0,1,50,1,50,1,50,1,40,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,0.01831563888873418,0.0008159878350721483,6.997045994265065e-09,0.1690133154060661,0.760045927023468,6.928847118330195e-31,0.36787944117144233,1.449278887147761e-06,0.30133083890551066,8.849930260292657e-24,0.760045927023468
8,2017-12-05,20.0,27.0,8.0,2017,12,5,1,1,50.0,0,0,0,0,1,40,1,40,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,0.022108538597039658,0.0006315414766389987,4.62058847615921e-09,0.19146289967870542,0.7214222903547561,1.5288129205360447e-30,0.40372170860859763,2.050338474493025e-06,0.2708683284704635,4.411719196996002e-24,0.7214222903547561
9,2017-12-06,0.0,0.0,0.0,2017,12,6,2,0,0.0,0,0,0,0,1,40,1,40,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,0.026566137145725102,0.0004865757746296883,3.0374578711408626e-09,0.21591298091726488,0.6816629478612286,3.3579801181420154e-30,0.441051290941554,2.8875503621930407e-06,0.24238362999515986,2.1893050878062735e-24,0.6816629478612286
10,2017-12-07,0.0,0.0,0.0,2017,12,7,3,0,0.0,0,0,1,40,1,40,1,40,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.03177804641749838,0.00037318957021707967,1.987712853292263e-09,0.24238362999515986,0.6411803884299546,7.342303069252906e-30,0.47965226883004425,4.048218864632775e-06,0.21591298091726488,1.0815214096490333e-24,0.6411803884299546
11,2017-12-08,0.0,0.0,0.0,2017,12,8,4,0,0.0,0,0,1,40,1,30,1,40,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,0.03784045853143394,0.00028493048887656886,1.2948737877910746e-09,0.2708683284704635,0.6003730411984044,1.5981476628267853e-29,0.5192712990540764,5.649744546949397e-06,0.19146289967870542,5.318563715269067e-25,0.6003730411984044
12,2017-12-09,0.0,0.0,0.0,2017,12,9,5,0,0.0,1,40,1,40,1,30,1,40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.04485553036633267,0.00021656025755544176,8.397144824858431e-10,0.30133083890551066,0.5596191218461927,3.4628359020592734e-29,0.5596191218461927,7.849175678309677e-06,0.1690133154060661,2.603658507632229e-25,0.5596191218461927
