,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Memorial_Day,nday_away_Independence_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Labor_Day,nday_away_Columbus_Day,nday_away_Thanksgiving,nday_away_New_Years_Day,nday_away_Christmas_Day,nday_away_Martin_Luther_King_Jr_Day,nday_away_anyholiday
0,2011-06-20,0.0,0.0,0.0,2011,6,20,0,1,30.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.36787944117144233,0.6411803884299546,1.1332393247975474e-14,3.795737739100092e-21,1.449278887147761e-06,4.433377746328046e-13,5.318563715269067e-25,3.4628359020592734e-29,1.4039947359662446e-31,4.411719196996002e-24,0.6411803884299546
1,2011-06-21,0.0,0.0,0.0,2011,6,21,1,0,0.0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,0.33370241075447066,0.6816629478612286,6.5910664926522654e-15,7.276663454088607e-21,2.050338474493025e-06,7.35095839585829e-13,1.0815214096490333e-24,1.5981476628267853e-29,6.277162123269114e-32,2.1893050878062735e-24,0.6816629478612286
2,2011-06-22,0.0,0.0,0.0,2011,6,22,2,0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,,,,,,,,,,,,0.30133083890551066,0.7214222903547561,3.816103628946825e-15,1.3886691616029176e-20,2.8875503621930407e-06,1.2133430395437822e-12,2.1893050878062735e-24,7.342303069252906e-30,2.793776256466959e-32,1.0815214096490333e-24,0.7214222903547561
3,2011-06-23,0.0,0.0,0.0,2011,6,23,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,,,,,,,,,0.2708683284704635,0.760045927023468,2.1994547780410763e-15,2.6381270294181677e-20,4.048218864632775e-06,1.9936717358377863e-12,4.411719196996002e-24,3.3579801181420154e-30,1.237799517733768e-32,5.318563715269067e-25,0.760045927023468
4,2011-06-24,0.0,0.0,0.0,2011,6,24,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,,,,,,0.24238362999515986,0.7971141629458125,1.2619447026583566e-15,4.9891093927950183e-20,5.649744546949397e-06,3.2610248726700355e-12,8.849930260292657e-24,1.5288129205360447e-30,5.4593307522331215e-33,2.603658507632229e-25,0.7971141629458125
5,2011-06-25,0.0,0.0,0.0,2011,6,25,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.21591298091726488,0.8322075006903012,7.207688734079356e-16,9.392490402701178e-20,7.849175678309677e-06,5.309883359214771e-12,1.7672673139340898e-23,6.928847118330195e-31,2.396949668898052e-33,1.2688318989310368e-25,0.8322075006903012
6,2011-06-26,0.0,0.0,0.0,2011,6,26,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.19146289967870542,0.8649144172389205,4.0980960411175916e-16,1.760227914426155e-19,1.0855496653299211e-05,8.606890178604721e-12,3.513136727828072e-23,3.1260651434701166e-31,2.396949668898052e-33,6.155375693545423e-26,0.8649144172389205
7,2011-06-27,0.0,0.0,0.0,2011,6,27,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.1690133154060661,0.8948393168143698,2.3195228302435696e-16,3.2838813589367143e-19,1.4945338524781451e-05,1.3887943864964021e-11,6.95213617456976e-23,1.4039947359662446e-31,5.4593307522331215e-33,2.972593012420696e-26,0.8948393168143698
8,2011-06-28,0.0,0.0,0.0,2011,6,28,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.14852091655171076,0.9216104472977248,1.3069097000558088e-16,6.098688103116819e-19,2.0482936846887517e-05,2.2307970104970424e-11,1.3695310990003124e-22,6.277162123269114e-32,1.237799517733768e-32,1.429047782650265e-26,0.9216104472977248
9,2011-06-29,0.0,0.0,0.0,2011,6,29,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.12992260830505947,0.9448875602748896,7.330319795513614e-17,1.1274980485847069e-18,2.7945321209152884e-05,3.567077669253329e-11,2.685690341941217e-22,2.793776256466959e-32,2.793776256466959e-32,6.838934727824874e-27,0.9448875602748896
10,2011-06-30,0.0,0.0,0.0,2011,6,30,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.11313897801910364,0.9643690948860915,4.09289565372295e-17,2.0750357571818113e-18,3.795389888449303e-05,5.678001307018091e-11,5.242885663363464e-22,1.237799517733768e-32,6.277162123269114e-32,3.2580712504375464e-27,0.9643690948860915
11,2011-07-01,0.0,0.0,0.0,2011,7,1,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.09807767964508253,0.9797986738537043,2.2749341707408446e-17,3.8015944193905344e-18,5.131379054322775e-05,8.997229967366561e-11,1.0188617225283034e-21,5.4593307522331215e-33,1.4039947359662446e-31,1.5451231768499288e-27,0.9797986738537043
