,Date,avg_comments,avg_bookmarks,avg_shares,year,month,day,weekday,discount_today,avg_discount,Y_discount_1d,Y_avg_discount_1d,Y_discount_3d,Y_avg_discount_3d,Y_discount_7d,Y_avg_discount_7d,Y_discount_14d,Y_avg_discount_14d,discount_past1day,discount_past2day,discount_past3day,discount_past4day,discount_past5day,discount_past6day,discount_past7day,discount_min_past15day,discount_min_past30day,discount_max_past15day,discount_max_past30day,discount_mean_past15day,discount_mean_past30day,nday_away_Martin_Luther_King_Jr_Day,nday_away_Columbus_Day,nday_away_Labor_Day,nday_away_New_Years_Day,nday_away_Thanksgiving,nday_away_Memorial_Day,nday_away_Christmas_Day,nday_away_Washingtons_Birthday,nday_away_Veterans_Day,nday_away_Independence_Day,nday_away_anyholiday
0,2011-09-21,0.0,0.0,0.0,2011,9,21,2,1,70.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,3.3047967556318703e-14,0.441051290941554,0.5596191218461927,5.678001307018091e-11,9.252960973638543e-05,1.5907704423661305e-13,1.2948737877910746e-09,1.7672673139340898e-23,0.002745041231162644,7.143252560542774e-07,0.5596191218461927
1,2011-09-22,0.0,0.0,0.0,2011,9,22,3,0,0.0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,5.605339617595758e-14,0.47965226883004425,0.5192712990540764,8.997229967366561e-11,0.00012340980408667956,9.464322195262531e-14,1.987712853292263e-09,3.513136727828072e-23,0.003451541830562535,4.980966734693725e-07,0.5192712990540764
2,2011-09-23,0.0,0.0,0.0,2011,9,23,4,0,0.0,0,0,0,0,0,0,0,0,0.0,1.0,,,,,,,,,,,,9.464322195262531e-14,0.5192712990540764,0.47965226883004425,1.4192292867942123e-10,0.00016385096587198604,5.605339617595758e-14,3.0374578711408626e-09,6.95213617456976e-23,0.004320239474094066,3.4574960100244164e-07,0.5192712990540764
3,2011-09-24,0.0,0.0,0.0,2011,9,24,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,,,,,,,,,1.5907704423661305e-13,0.5596191218461927,0.441051290941554,2.2285722505175572e-10,0.00021656025755544176,3.3047967556318703e-14,4.62058847615921e-09,1.3695310990003124e-22,0.005383105741918052,2.3891319952628224e-07,0.5596191218461927
4,2011-09-25,0.0,0.0,0.0,2011,9,25,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,,,,,,2.661680480344294e-13,0.6003730411984044,0.40372170860859763,3.4836240728956334e-10,0.00028493048887656886,1.939625972470827e-14,6.997045994265065e-09,2.685690341941217e-22,0.006677108163747914,1.6434216793821234e-07,0.6003730411984044
5,2011-09-26,0.0,0.0,0.0,2011,9,26,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,4.433377746328046e-13,0.6411803884299546,0.36787944117144233,5.420835868877036e-10,0.00037318957021707967,1.1332393247975474e-14,1.0547816779454457e-08,5.242885663363464e-22,0.008244689844825922,1.1253517471925912e-07,0.6411803884299546
6,2011-09-27,0.0,0.0,0.0,2011,9,27,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,7.35095839585829e-13,0.6816629478612286,0.33370241075447066,8.397144824858431e-10,0.0004865757746296883,6.5910664926522654e-15,1.5828539209911236e-08,1.0188617225283034e-21,0.010134227381485734,7.671105893720845e-08,0.6816629478612286
7,2011-09-28,0.0,0.0,0.0,2011,9,28,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,1.2133430395437822e-12,0.7214222903547561,0.30133083890551066,1.2948737877910746e-09,0.0006315414766389987,3.816103628946825e-15,2.3645554668615604e-08,1.971017666651087e-21,0.012400448027957603,5.205447572187675e-08,0.7214222903547561
8,2011-09-29,0.0,0.0,0.0,2011,9,29,3,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.9936717358377863e-12,0.760045927023468,0.2708683284704635,1.987712853292263e-09,0.0008159878350721483,2.1994547780410763e-15,3.516321581057925e-08,3.795737739100092e-21,0.015104783999608878,3.516321581057925e-08,0.760045927023468
9,2011-09-30,0.0,0.0,0.0,2011,9,30,4,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.2610248726700355e-12,0.7971141629458125,0.24238362999515986,3.0374578711408626e-09,0.0010495325222677763,1.2619447026583566e-15,5.205447572187675e-08,7.276663454088607e-21,0.01831563888873418,2.3645554668615604e-08,0.7971141629458125
10,2011-10-01,0.0,0.0,0.0,2011,10,1,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.309883359214771e-12,0.8322075006903012,0.21591298091726488,4.62058847615921e-09,0.0013438120398556223,7.207688734079356e-16,7.671105893720845e-08,1.3886691616029176e-20,0.022108538597039658,1.5828539209911236e-08,0.8322075006903012
11,2011-10-02,0.0,0.0,0.0,2011,10,2,6,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.606890178604721e-12,0.8649144172389205,0.19146289967870542,6.997045994265065e-09,0.00171281936882384,4.0980960411175916e-16,1.1253517471925912e-07,2.6381270294181677e-20,0.026566137145725102,1.0547816779454457e-08,0.8649144172389205
12,2011-10-03,0.0,0.0,0.0,2011,10,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.3887943864964021e-11,0.8948393168143698,0.1690133154060661,1.0547816779454457e-08,0.002173276647747907,2.3195228302435696e-16,1.6434216793821234e-07,4.9891093927950183e-20,0.03177804641749838,6.997045994265065e-09,0.8948393168143698
13,2011-10-04,0.0,0.0,0.0,2011,10,4,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.2307970104970424e-11,0.9216104472977248,0.14852091655171076,1.5828539209911236e-08,0.002745041231162644,1.3069097000558088e-16,2.3891319952628224e-07,9.392490402701178e-20,0.03784045853143394,4.62058847615921e-09,0.9216104472977248
14,2011-10-05,0.0,0.0,0.0,2011,10,5,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.567077669253329e-11,0.9448875602748896,0.12992260830505947,2.3645554668615604e-08,0.003451541830562535,7.330319795513614e-17,3.4574960100244164e-07,1.760227914426155e-19,0.04485553036633267,3.0374578711408626e-09,0.9448875602748896
